svc,cohort,cohort_years,paygrade_level,paygrade,y1_emp,y5_emp,y10_emp,y1_nonemp,y5_nonemp,y10_nonemp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_nonemp,status_y5_nonemp,status_y10_nonemp,status_y1_earn,status_y5_earn,status_y10_earn
N,0,20,E,E3,40850,45210,30470,56630,35390,19140,20440,26560,32460,27980,38290,47180,38860,53710,67350,1,1,1,1,1,1,1,1,1
N,0,20,E,E4,69660,81830,58790,88680,52500,28810,23440,31890,39410,34010,46170,56820,48840,64750,80890,1,1,1,1,1,1,1,1,1
N,0,20,E,E5,78530,83690,55760,79630,44070,23850,30030,40080,48160,46540,58470,70380,68670,82720,98820,1,1,1,1,1,1,1,1,1
N,0,20,E,E6,57180,54500,37520,33560,22690,15660,39100,47170,50610,57950,66610,71590,82240,92930,100300,1,1,1,1,1,1,1,1,1
N,0,20,E,E7-E9,50180,45030,30030,24390,16440,11500,48210,57250,62040,69820,79650,87080,93800,104200,111900,1,1,1,1,1,1,1,1,1
N,2002,2,X,E1-E9,32830,40060,38660,25380,18130,19580,26490,35790,41870,40330,53160,62270,61060,76670,91060,1,1,1,1,1,1,1,1,1
N,2004,2,X,E1-E9,41400,42350,46270,30760,29740,25890,25340,36800,41520,39030,54510,61660,59430,79260,90010,1,1,1,1,1,1,1,1,1
N,2006,2,X,E1-E9,45700,46040,51950,28270,27980,22050,27280,36630,43100,42310,54960,63710,64530,81050,92580,1,1,1,1,1,1,1,1,1
N,2008,2,X,E1-E9,27610,39570,43590,34250,22360,18190,30510,35110,44790,48470,53150,66140,74250,79430,95210,1,1,1,1,1,1,1,1,1
N,2010,2,X,E1-E9,22920,38090,39700,35820,20620,19000,29060,34760,45080,46320,52480,66130,72540,76970,94840,1,1,1,1,1,1,1,1,1
